link_articol,platforma,data,cuvinte_cheie
https://www.digi24.ro/stiri/sci-tech/natura-si-mediu/poluare-masiva-in-bucuresti-garda-de-mediu-vrea-sa-amendeze-primaria-capitalei-cu-100-000-de-lei-2700015, digi24, 25.02.2024 13:30 ,nothing
https://www.digi24.ro/stiri/actualitate/social/o-femeie-din-maramures-s-a-filmat-la-volan-cu-copilul-in-brate-politia-nu-avea-fixata-centura-de-siguranta-2699983, digi24, 25.02.2024 12:43 ,nothing
https://www.digi24.ro/stiri/externe/o-chelnerita-din-sua-a-primit-un-bacsis-de-10-000-de-dolari-a-fost-concediata-la-scurt-timp-2699979, digi24, 25.02.2024 12:16 ,nothing
https://www.digi24.ro/stiri/externe/donald-trump-e-acuzat-de-rasism-dupa-ce-a-facut-o-legatura-intre-afroamericani-si-infractionalitate-este-dezgustator-2699969, digi24, 25.02.2024 11:17 ,nothing
https://www.digi24.ro/stiri/actualitate/evenimente/doi-hoti-au-furat-320-kg-de-cupru-din-transformatoarele-complexului-energetic-oltenia-2699963, digi24, 25.02.2024 10:58 ,nothing
https://www.digi24.ro/stiri/actualitate/politica/liderul-pnl-timis-acuza-permutari-in-stil-golanesc-dupa-ce-psd-a-racolat-mai-multi-primari-liberali-din-judet-2699939, digi24, 25.02.2024 10:39 ,nothing
https://www.digi24.ro/stiri/externe/surse-media-ruse-cel-putin-75-000-de-militari-rusi-au-murit-pana-acum-in-ucraina-2699905, digi24, 25.02.2024 10:23 ,ucraina murit 
https://www.digi24.ro/stiri/sci-tech/descoperiri/oamenii-de-stiinta-au-identificat-o-stea-neutronica-nascuta-dintr-o-supernova-observata-cu-ochiul-liber-de-pe-terra-in-1987-2698549, digi24, 25.02.2024 10:00 ,nothing
https://www.digi24.ro/stiri/orele-negre-ale-traficului-din-romania-care-sunt-intervalele-orare-in-care-se-produc-cele-mai-multe-accidente-rutiere-2695431, digi24, 25.02.2024 10:00 ,nothing
https://www.digi24.ro/stiri/actualitate/evenimente/soferul-care-a-lovit-un-politist-cu-masina-ca-sa-scape-de-urmarire-a-fost-arestat-pentru-30-de-zile-2699909, digi24, 25.02.2024 09:59 ,nothing
https://www.digi24.ro/stiri/actualitate/evenimente/politistii-din-bucuresti-au-dat-amenzi-de-123-000-de-lei-si-au-retinut-53-de-permise-aproape-jumatate-pentru-consum-de-alcool-2699895, digi24, 25.02.2024 09:21 ,nothing
https://www.digi24.ro/magazin/timp-liber/film/oppenheimer-a-castigat-cel-mai-ravnit-premiu-la-gala-screen-actors-guild-barbra-streisand-a-primit-trofeul-pentru-intreaga-cariera-2699889, digi24, 25.02.2024 09:14 ,nothing
https://www.digi24.ro/stiri/actualitate/cutremur-in-romania-duminica-dimineata-2699883, digi24, 25.02.2024 08:52 ,nothing
https://www.digi24.ro/stiri/externe/sua-si-marea-britanie-au-lansat-noi-lovituri-asupra-unor-tinte-houthi-in-yemen-2699867, digi24, 25.02.2024 08:02 ,nothing
